exerciseNumber,puzzleId,difficulty,game,solutionSequence,moveCount,extractionConfidence,sourcePdfPage
681,intermediate-0681,intermediate,"Boris Spassky - Gyozo Forintos, Sochi 1964","[""e6"", ""Bxe6"", ""Qxe6"", ""Ng5+""]",4,medium,304
682,intermediate-0682,intermediate,"Boris Spassky - Kick Langeweg, Sochi 1967","[""Bxg7"", ""Qxd5"", ""Bxg7"", ""Ne7+""]",4,medium,304
683,intermediate-0683,intermediate,"Shimon Kagan - Boris Spassky, Winnipeg 1967","[""Nxe3"", ""Bxe3"", ""Rxe3"", ""Qxf4+""]",4,medium,305
684,intermediate-0684,intermediate,"Boris Spassky - Klaus Darga, Beverwijk 1967","[""Ng6"", ""fxg6"", ""Bxd5""]",3,medium,305
685,intermediate-0685,intermediate,"Istvan Csom - Boris Spassky, Amsterdam 1970","[""Rc7"", ""Rd1"", ""Ra1"", ""Rc2""]",4,medium,305
686,intermediate-0686,intermediate,Mark Taimanov - Boris Spassky Rostov on Don 1971,"[""Rxd3"", ""exd3"", ""Qxd3"", ""Qc8""]",4,medium,305
687,intermediate-0687,intermediate,"Boris Spassky - Derek Banks, Vancouver 1971","[""Bxe6+"", ""Kxe6"", ""Nxe6"", ""Qd7#""]",4,medium,305
688,intermediate-0688,intermediate,"Boris Spassky - Walter Dobrich, Vancouver 1971","[""b4""]",1,medium,305
689,intermediate-0689,intermediate,"Boris Spassky - Robert Zuk, Vancouver 1971","[""Ng5"", ""Bc8"", ""Rh3+"", ""Rh6"", ""Nf7+"", ""Rxg5"", ""Qh4+""]",7,medium,305
690,intermediate-0690,intermediate,"Boris Spassky - Robert Fischer, Reykjavik (1) 1972","[""Kf3"", ""gxh4"", ""Ke7"", ""h3"", ""Kg4"", ""Bg1"", ""Kxh3"", ""Bxf2"", ""Bd2""]",9,medium,306
691,intermediate-0691,intermediate,"Boris Spassky - Robert Fischer, Reykjavik (5) 1972","[""Bxa4"", ""Qxa4"", ""Qxe4""]",3,medium,306
692,intermediate-0692,intermediate,"Boris Spassky - Heikki Westerinen, Dortmund 1973","[""Rxh5"", ""Rf8"", ""Rxh5"", ""Qg8+"", ""Ke7"", ""exd6+""]",6,medium,306
693,intermediate-0693,intermediate,"Boris Spassky - Valeri Korensky, Sochi 1973","[""e7+"", ""Qh8+"", ""Ke7"", ""Rxf7+"", ""Qf6+"", ""Ke8"", ""Kd6"", ""Kg8"", ""Rxe7"", ""Qh8#""]",10,medium,306
694,intermediate-0694,intermediate,"Boris Spassky - Ratmir Kholmov, Sochi 1973","[""Rxa8"", ""Rxa8"", ""Rxa8"", ""Qxa8"", ""Bxg5+""]",5,medium,306
695,intermediate-0695,intermediate,"Boris Rytov - Boris Spassky, Tallinn 1973","[""Nxe4"", ""Qxe4"", ""Bxc3"", ""Bg5"", ""bxc3"", ""Bf5"", ""Qe2"", ""Bxb1""]",8,medium,306
696,intermediate-0696,intermediate,"Boris Spassky - Orest Averkin, Moscow 1973","[""Bc7"", ""Rxc7"", ""Qe5"", ""Kf8"", ""Qxc7""]",5,medium,306
697,intermediate-0697,intermediate,"Bojan Kurajica - Boris Spassky, Solingen 1974","[""Bh3"", ""Bh1"", ""Bxh3"", ""Rxe4#""]",4,medium,306
698,intermediate-0698,intermediate,"Efim Geller - Boris Spassky, Moscow 1975","[""Nxd6"", ""Rxg5+"", ""Qxg5"", ""Rg2"", ""Qxg2+"", ""Kxg2"", ""Rxa5"", ""Nxa5"", ""Rxa5"", ""Rxd6"", ""Qxa8+""]",11,medium,307
699,intermediate-0699,intermediate,"Boris Spassky - Francisco Sanz Alonso, Montilla 1978","[""Rxg7+"", ""Kxg7"", ""Ne4+""]",3,medium,307
700,intermediate-0700,intermediate,"Anatoly Karpov - Boris Spassky, Montreal 1979","[""Rxe7"", ""Rxe7"", ""d6"", ""Qc4"", ""b3""]",5,medium,307
701,intermediate-0701,intermediate,"Bent Larsen - Boris Spassky, Montreal 1979","[""Rxd5"", ""cxd5"", ""Rxc5"", ""Nxc5"", ""Nxd5""]",5,medium,307
702,intermediate-0702,intermediate,"Boris Spassky - Otto Borik, Germany 1982","[""Nxf7"", ""Qxf7+"", ""Qxf7"", ""Nxf7"", ""Nxc3"", ""Qxf7"", ""Rd1""]",7,medium,307
703,intermediate-0703,intermediate,"Lajos Portisch - Boris Spassky, London 1982","[""Bc7""]",1,medium,307
704,intermediate-0704,intermediate,"Jan Timman - Boris Spassky, Hilversum (1) 1983","[""Bf5"", ""gxf5"", ""Qg5+"", ""Rg6"", ""hxg6+""]",5,medium,307
705,intermediate-0705,intermediate,"Jan Timman - Boris Spassky, Hilversum (3) 1983","[""Rc1"", ""Qd3"", ""Qb3"", ""Bd5""]",4,medium,307
706,intermediate-0706,intermediate,"Aldo Haik - Boris Spassky, Paris (3) 1983","[""Rxh6"", ""Kxh6"", ""Rh8"", ""Rxh8"", ""Rh1+"", ""Kg7"", ""Qh7+"", ""Kf6"", ""f4"", ""Qh6+"", ""Ke5"", ""Qh2+"", ""Kf6"", ""Ne4+"", ""Kg7"", ""Qh7#""]",16,low,308
707,intermediate-0707,intermediate,"Eugenio Torre - Boris Spassky, Bugojno 1984","[""Rc1+"", ""Qxc1"", ""Qxh2"", ""Rf1"", ""g4"", ""Qxg3+"", ""Rf2"", ""Kd2"", ""Qg2+""]",9,medium,308
708,intermediate-0708,intermediate,"Jonathan Ady - Boris Spassky, London 1984","[""Rxa2"", ""Rxa2"", ""Qb1+"", ""Kh2"", ""Qxa2""]",5,medium,308
709,intermediate-0709,intermediate,"Kevin Spraggett - Boris Spassky, Montpellier 1985","[""Rxh7+""]",1,medium,308
710,intermediate-0710,intermediate,"Lajos Portisch - Boris Spassky, Montpellier 1985","[""Ra2"", ""Qb7"", ""Qc4"", ""Rxd5"", ""Rxc2""]",5,medium,308
711,intermediate-0711,intermediate,"Boris Spassky - Lucas Brunner, Solingen 1986","[""Nxh7"", ""Kxh7"", ""Qh4+"", ""Kg8"", ""Bxe7""]",5,medium,308
712,intermediate-0712,intermediate,"Boris Spassky - Artur Yusupov, Belfort 1988","[""Rxg7+"", ""Kxg7"", ""Kh8"", ""Rh7+"", ""Rf7+"", ""Kh8"", ""N5g6#""]",7,medium,308
